start month,start year,end month,end year,Lamas num,case num,road num,road name,semel yishuv,shem yishuv,shem medaveach,sug slila,road len,road width,road area,road type,way type
12,2019,5,2022,18591,,0,הגננת,3000,ירושלים,מוריה ירושלים,הרחבת כביש,2000,31,62000,מצופה אספלט,עירונית
5,1997,9,1998,3125,436 0,0,צומת בידו גבעון,9999,כביש בין ישובים,,הרחבת כביש,1500,21,31500,מצופה אספלט,אזורית
9,2000,5,2001,125,0 0,0,19,510,כפר מנדא,מועצה מקומית כפר מנדא,הרחבה ושיקום,300,8,2400,מצופה אספלט,עירונית
10,1998,11,1998,3097,87 0,0,צומת אתר יהודיה,9999,כביש בין ישובים,,הרחבת כביש,320,14,4480,מצופה אספלט,ראשית
6,2000,6,2000,2852,869 0,0,ריגה,5000,תל אביב -יפו,עיריית תל-אביב יפו,שיקום כביש,328,9,2952,מצופה אספלט,אזורית
7,2020,7,2020,17848,0 0,0,שכונה דרומית,4502,עין קנייא,מועצה מקומית עין קיניה,סלילת כביש,170,8,1360,אחר,עירונית
12,1997,12,1997,1072,0 0,0,המגדל,6300,גבעתיים,עיריית גבעתים,סלילת כביש,120,5,600,מצופה אספלט,עירונית
1,1997,7,1997,491,0 0,0,עין נביא,2710,אום אל-פחם,עיריית אום אל פחם,הרחבה ושיקום,2000,20,40000,מצופה אספלט,ראשית
4,2005,7,2008,6300,0 0,0,"כביש עוקף מת""נס (מרכזי)",494,עיר כרמל,,הרחבת כביש,1100,10,11000,מצופה אספלט,עירונית
9,2020,9,2020,17851,0 0,0,הזורע,154,תל מונד,מועצה מקומית תל מונד,סלילת כביש,310,16,4960,מצופה אספלט,עירונית
6,1995,6,1997,3119,99 0,0,99,9999,כביש בין ישובים,,הרחבה ושיקום,1850,15,27750,מצופה אספלט,ראשית
6,2008,11,2008,8166,0 0,0,מעלה הכרמים,7600,עכו,עיריית עכו,הרחבה ושיקום,1000,8,8000,מצופה אספלט,עירונית
1,2008,8,2009,7849,11909250,0,רמלה,8500,רמלה,משרד הבינוי והשיכון תל אביב,הרחבה ושיקום,2750,8,22000,מצופה אספלט,עירונית
8,2000,9,2000,452,0 0,0,ספיר,2640,ראש העין,עיריית ראש-העין,הרחבה ושיקום,200,6,1200,מצופה אספלט,עירונית
1,2023,10,2023,22163,,0,מרחביה,97,מרחביה (מושב),מועצה אזורית מרחבים,הרחבת כביש,950,63,60000,מצופה אספלט,עירונית
8,2013,9,2013,11624,2963 0,0,"רמב""ם",8300,ראשון לציון,"מני""ב תאגיד המים ראשון לציון",שיקום כביש,154,12,1848,מצופה אספלט,עירונית
